CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
01.636.325/0001-28;2024-09-01;1;10559119;10467409;0;0;91710;303024711;303024711;0;0;0;303024711;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;4143691.13;2426457;0;1717234.13;4798467;20833;0;0;0;861807;0;0;0;2254450;7935557
01.636.325/0001-28;2024-10-01;1;8948778;8856219;0;0;92559;303848842;303848842;0;0;0;303848842;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3853624.55;2146050;0;1707574.55;587844;20833;0;0;0;856100;0;0;0;4496390;5961167
01.657.856/0001-05;2024-01-01;1;888640.68;141832.55;0;0;746808.13;49532191.95;49532191.95;0;49530663.91;0;0;0;1528.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1026231.25;450385.47;0;575845.78;191642;18061.68;0;0;0;0;0;0;0;1536807;1746510.68
01.657.856/0001-05;2024-02-01;1;638795.51;70893.23;0;0;567902.28;49573652.58;49573652.58;0;49572161.52;0;0;0;1491.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1029381.56;435994.03;0;593387.53;2840.9;18153.61;0;0;0;0;0;0;0;1512748.37;1533742.88
01.657.856/0001-05;2024-03-01;1;562034.41;146658.76;0;0;415375.65;49605617.25;49605617.25;0;49604163.17;0;0;0;1454.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1076468.24;472578.93;0;603889.31;2840.9;18162.74;0;0;0;0;0;0;0;1484163.32;1505166.96
01.657.856/0001-05;2024-04-01;1;553225.98;107019.52;0;0;446206.46;49631864.15;49631864.15;0;49630447.05;0;0;0;1417.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1146428.64;533639.89;0;612788.75;2840.9;28315.86;0;0;0;0;0;0;0;1559661.41;1590818.17
01.657.856/0001-05;2024-05-01;1;473436.48;80139.58;0;0;393296.9;49664737.95;49664737.95;0;49663357.83;0;0;0;1380.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1154617.27;520462.77;0;634154.5;2840.9;17910.23;0;0;0;0;0;0;0;1534663.68;1555414.81
01.657.856/0001-05;2024-06-01;1;425838.97;82215.46;0;0;343623.51;49695281.21;49695281.21;0;49693938.07;0;0;0;1343.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1086183.04;454150.76;0;632032.28;2840.9;17908.46;0;0;0;0;0;0;0;1482954.19;1503703.55
01.657.856/0001-05;2024-07-01;1;397864.64;51239.71;0;0;346624.93;49727901.74;49727901.74;0;49726595.58;0;0;0;1306.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1091397.75;445706.18;0;645691.57;2840.9;17756.71;0;0;0;0;0;0;0;1461434.27;1482031.88
01.657.856/0001-05;2024-08-01;2;356796.49;56517.38;0;0;300279.11;49759272.82;49759272.82;0;49758003.64;0;0;0;1269.18;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1116671.51;460798.47;0;655873.04;2840.9;17821.83;0;0;0;0;0;0;0;1447842.69;1468505.42
01.657.856/0001-05;2024-09-01;1;313829.46;64601.35;0;0;249228.11;49790203.26;49790203.26;0;49788971.06;0;0;0;1232.2;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1128210.1;456309.37;0;671900.73;2840.9;17817.12;0;0;0;0;0;0;0;1430119.27;1450777.29
01.657.856/0001-05;2024-10-01;1;273437.7;42487.13;0;0;230950.57;49822124.59;49822124.59;0;49820929.37;0;0;0;1195.22;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1149904.71;461107.65;0;688797.06;2840.9;17777.93;0;0;0;0;0;0;0;1412411.82;1433030.65
01.657.856/0001-05;2024-11-01;1;243209.19;30963.35;0;0;212245.84;49851812.66;49851812.66;0;49850654.42;0;0;0;1158.24;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1294895.86;561435.24;0;733460.62;2840.9;17793.54;0;0;0;0;0;0;0;1458753.22;1479387.66
01.964.775/0001-40;2024-01-01;1;1352582.23;1352582.23;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;249878.23;;;249878.23;;1032.94;;;;;;;0;3839.34;4872.28
01.964.775/0001-40;2024-02-01;1;1343776.55;1343776.55;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;249878.23;;;249878.23;;961.44;;;;;;;0;3839.34;4800.78
01.964.775/0001-40;2024-03-01;1;1341402.48;36756.27;;1304646.21;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;249878.23;;;249878.23;;1022.63;;;;;;;0;3839.34;4861.97
01.964.775/0001-40;2024-04-01;1;1340395.55;24567.86;;1315827.69;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;249878.23;;;249878.23;;987.52;;;;;;;0;3839.34;4826.86
01.964.775/0001-40;2024-05-01;1;1343353.16;16560.06;;1326793.1;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;249878.23;;;249878.23;;1020.44;;;;;;;0;3839.34;4859.78
01.964.775/0001-40;2024-06-01;2;1353548.17;15945.4;;1337602.77;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;249878.23;;;249878.23;;2009.78;;;;;;;0;3839.34;5849.12
01.964.775/0001-40;2024-07-01;1;1356298.57;6915.34;;1349383.23;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;249878.23;;;249878.23;;1028.25;;;;;;;0;3839.34;4867.59
01.964.775/0001-40;2024-08-01;1;1359905.63;28867.77;0;1331037.86;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;249878.23;;;249878.23;;1030.65;;;;;;;;3839.34;4869.99
01.964.775/0001-40;2024-09-01;1;1369187.62;27221.18;0;1341966.44;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;249878.23;;;249878.23;;999.64;;;;;;;;3839.34;4838.98
01.964.775/0001-40;2024-10-01;1;1380026.19;25606.88;0;1354419.31;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;249878.23;0;0;249878.23;0;1038.97;0;0;0;0;0;0;0;3839.34;4878.31
01.964.775/0001-40;2024-11-01;1;1370040.22;44739.4;0;1325300.82;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;74652.87;0;0;74652.87;0;1012.17;0;0;0;0;0;0;0;3839.34;4851.51
02.027.437/0001-44;2024-01-01;1;503623.34;5148.79;0;0;498474.55;67460000;67460000;0;67460000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;168033.1;127525.4;0;40507.7;172980.26;33601.91;0;0;0;0;0;0;0;186834.77;393416.94
02.027.437/0001-44;2024-02-01;1;265400.34;5561.59;0;0;259838.75;67460000;67460000;0;67460000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;141747.13;100660.35;0;41086.78;172980.26;34094.68;0;0;0;0;0;0;0;179860.72;386935.66
02.027.437/0001-44;2024-03-01;1;21720.74;5548.86;0;0;16171.88;67460000;67460000;0;67460000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;167907.65;127275.4;0;40632.25;172980.26;56502.75;0;0;0;0;0;0;0;194003.29;423486.3
02.027.437/0001-44;2024-04-01;1;3366.31;3366.31;0;0;0;67460000;67460000;0;67460000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;205985.41;166465.85;0;39519.56;172980.26;90597.43;0;0;0;0;0;0;0;183482.13;447059.82
02.027.437/0001-44;2024-05-01;2;434315.61;5110.24;0;0;429205.37;67460000;67460000;0;67460000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;173836.12;128461.42;0;45374.7;172980.26;124692.11;0;0;0;0;0;0;0;180277.67;477950.04
02.027.437/0001-44;2024-06-01;2;828223.49;5406.86;0;0;822816.63;67460000;67460000;0;67460000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;171659.28;128311.42;0;43347.86;172980.26;153726.96;0;0;0;0;0;0;0;176833.47;503540.69
02.027.437/0001-44;2024-07-01;1;305480.56;5553.04;0;0;299927.52;67460000;67460000;0;67460000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;170460.8;129084.47;0;41376.33;172980.26;56995.52;0;0;0;0;0;0;0;149003.41;378979.19
02.027.437/0001-44;2024-08-01;1;881346.47;5017.46;0;0;876329.01;67460000;67460000;0;67460000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;168844.07;128934.47;0;39909.6;172980.26;89403.59;0;0;0;0;0;0;0;148920.54;411304.39
02.027.437/0001-44;2024-09-01;1;582593.19;5448.5;0;0;577144.69;67460000;67460000;0;67460000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;166401.8;128784.47;0;37617.33;172980.26;54473.04;0;0;0;0;0;0;0;149051.63;376504.93
02.027.437/0001-44;2024-10-01;2;717274.73;5734.85;0;0;711539.88;68430000;68430000;0;68430000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;164975.71;128634.47;0;36341.24;172980.26;36131.28;0;0;0;0;0;0;0;179017.18;388128.72
02.027.437/0001-44;2024-11-01;1;229234.59;5882.2;0;0;223352.39;68490000;68490000;0;68490000;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;161208.59;125716.17;0;35492.42;172980.26;492.77;0;0;0;0;0;0;0;178051.26;351524.29
02.508.235/0001-14;2024-01-01;1;2465433.05;5890.5;0;0;2459542.55;243000000;243000000;0;243000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1215755.56;1215755.56;0;0;1397338.58;64695.62;0;0;0;0;0;0;0;21662.72;1483696.92
02.508.235/0001-14;2024-02-01;1;2210063.57;5094.76;0;0;2204968.81;243000000;243000000;0;243000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1216069.56;1215755.56;0;314;2064835.73;65034.39;0;0;0;0;0;0;0;21662.72;2151532.84
